symbol,log2FoldChange,padj,A_Sham_4,A_Sham_5,A_Sham_6,A_svd_4,A_svd_5,A_svd_6
0610005C13Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
0610007P14Rik,0.080,0.655,25.549,30.434,17.173,21.541,26.607,29.903
0610009B22Rik,0.164,0.733,9.802,15.999,5.004,4.099,17.372,14.201
0610009L18Rik,-0.351,0.596,1.453,14.092,2.866,2.021,7.322,1.243
0610009O20Rik,-0.127,0.418,24.781,20.075,25.963,23.005,22.776,15.121
0610010B08Rik,0.098,0.597,1.165,0.335,0.405,0.644,0.883,0.839
0610010F05Rik,0.247,0.424,4.887,5.873,1.187,5.010,5.322,5.017
0610010K14Rik,-0.080,0.737,44.021,37.078,60.077,28.639,54.249,45.931
0610011F06Rik,-0.428,0.012,30.345,42.082,34.787,23.635,16.330,19.283
0610012G03Rik,-0.086,0.710,23.092,13.917,28.179,15.720,21.504,21.808
0610030E20Rik,0.229,0.324,6.837,9.950,5.725,9.784,6.816,11.317
0610031O16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
0610037L13Rik,0.501,0.061,9.799,12.969,11.708,13.334,17.991,21.275
0610038B21Rik,-0.511,0.143,2.304,6.932,2.998,1.482,0.741,2.117
0610039H22Rik,0.060,0.374,0.000,0.000,0.000,0.177,0.000,0.000
0610039K10Rik,-0.674,0.327,0.232,11.210,2.186,0.997,1.315,0.000
0610040B10Rik,-0.676,0.240,0.000,10.746,6.283,0.000,0.000,3.415
0610040F04Rik,0.260,0.385,0.000,0.000,0.102,0.061,0.849,0.000
0610040J01Rik,-0.440,0.248,1.408,5.939,2.703,2.346,1.466,0.397
0610043K17Rik,0.603,0.374,0.000,0.000,0.000,1.801,0.000,0.000
1010001N08Rik,0.303,0.374,0.000,0.000,0.000,0.000,0.906,0.000
1110001J03Rik,-0.548,0.139,56.138,188.153,122.659,45.637,60.983,54.417
1110002L01Rik,0.245,0.429,3.822,5.432,1.732,3.095,5.690,5.383
1110004E09Rik,-0.052,0.436,26.223,24.785,21.075,23.298,22.551,21.467
1110004F10Rik,-0.012,0.965,54.938,23.335,35.452,36.654,34.182,40.864
1110006O24Rik,0.723,0.496,1.379,0.000,0.000,0.000,0.374,4.178
1110007C09Rik,-0.144,0.540,17.294,25.932,34.757,26.396,20.975,18.282
1110008F13Rik,-0.365,0.265,13.726,39.854,43.385,18.710,20.124,20.864
1110008L16Rik,-0.035,0.839,2.120,3.275,2.835,1.724,2.486,3.529
1110008P14Rik,-0.270,0.168,65.685,70.044,58.849,65.016,43.934,30.419
1110012L19Rik,-0.438,0.043,16.154,15.677,10.030,5.021,7.391,9.484
1110015O18Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1110017D15Rik,0.106,0.810,9.521,10.582,6.982,10.104,16.782,2.947
1110019D14Rik,-0.245,0.119,0.872,0.936,0.436,0.000,0.486,0.454
1110020A21Rik,0.715,0.166,0.000,0.000,0.000,0.000,1.462,0.680
1110025L11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1110028F11Rik,0.156,0.206,0.035,0.000,0.026,0.000,0.362,0.176
1110028F18Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1110032A03Rik,-0.402,0.074,12.112,16.203,10.988,6.487,10.967,4.516
1110032F04Rik,-0.183,0.386,2.711,5.765,4.812,4.428,2.671,3.062
1110034G24Rik,-0.370,0.241,9.182,20.716,12.260,6.464,5.348,13.224
1110036E04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1110037F02Rik,0.210,0.222,9.626,9.121,6.273,11.237,10.917,8.336
1110038B12Rik,0.272,0.688,3.379,0.000,10.966,9.275,3.704,6.235
1110038F14Rik,0.857,0.051,13.193,9.983,6.909,13.436,22.186,22.136
1110046J04Rik,-0.066,0.914,1.810,0.000,2.058,0.000,3.438,0.000
1110051M20Rik,-0.187,0.397,13.220,10.457,11.855,5.347,13.438,9.270
1110058D11Rik,0.337,0.374,0.000,0.000,0.000,1.007,0.000,0.000
1110059E24Rik,0.735,0.136,7.872,4.954,1.226,6.463,9.533,10.207
1110059G10Rik,-0.025,0.828,2.894,3.606,3.521,2.387,3.330,3.860
1110065P20Rik,0.173,0.740,23.386,1.501,19.491,10.353,21.818,20.586
1190002F15Rik,-0.615,0.374,4.780,0.000,0.000,0.000,0.000,0.000
1190002N15Rik,0.189,0.527,9.037,9.702,2.614,9.137,7.970,8.387
1190003K10Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1190005I06Rik,-0.483,0.572,0.000,27.593,3.418,7.033,7.042,0.000
1190007I07Rik,1.212,0.220,7.147,0.000,0.000,9.390,5.638,4.399
1200014J11Rik,0.437,0.162,4.224,3.617,1.879,6.562,4.735,3.766
1300002E11Rik,-0.024,0.962,6.117,0.936,9.871,8.526,2.673,5.254
1300017J02Rik,0.094,0.210,0.000,0.000,0.000,0.000,0.067,0.213
1500004A13Rik,0.133,0.716,0.635,2.858,2.098,3.368,2.398,0.857
1500009C09Rik,-0.214,0.452,13.979,13.089,27.454,14.705,13.470,13.791
1500009L16Rik,0.517,0.000,5.957,6.852,6.175,9.497,10.531,9.951
1500011B03Rik,0.171,0.585,13.472,28.821,11.721,24.664,18.230,19.542
1500011K16Rik,-0.132,0.801,38.751,6.861,13.290,12.892,16.561,21.102
1500012F01Rik,0.062,0.803,18.766,14.679,18.733,13.960,26.108,15.033
1500012K07Rik,0.011,0.374,0.000,0.000,0.000,0.000,0.033,0.000
1500015A07Rik,0.188,0.659,0.785,3.625,2.139,4.652,1.639,1.903
1500015L24Rik,-0.285,0.595,2.560,0.000,0.000,0.974,0.000,0.000
1500015O10Rik,-0.183,0.534,39.859,63.704,48.160,50.246,55.013,16.137
1500017E21Rik,0.174,0.659,1.415,0.000,0.000,0.833,1.105,0.239
1500026H17Rik,0.205,0.097,0.000,0.047,0.319,0.296,0.394,0.363
1600002D24Rik,-0.017,0.374,0.053,0.000,0.000,0.000,0.000,0.000
1600002H07Rik,0.065,0.493,3.228,4.125,2.960,3.263,3.596,4.167
1600002K03Rik,0.224,0.568,10.032,6.027,2.561,10.426,6.948,5.770
1600010M07Rik,0.573,0.374,0.000,0.000,0.000,0.000,1.715,0.000
1600012H06Rik,0.411,0.249,5.436,10.817,3.626,11.437,9.648,7.608
1600014C10Rik,0.021,0.835,9.433,9.728,6.646,8.442,8.497,9.109
1600014C23Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1600014K23Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1600015I10Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1600019K03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1600020E01Rik,-0.066,0.919,10.896,0.000,2.507,4.180,4.667,3.501
1600023N17Rik,0.668,0.315,0.000,0.000,0.000,0.000,0.174,1.830
1600025M17Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1600027J07Rik,-0.678,0.374,6.295,0.000,0.000,0.000,0.000,0.000
1600029I14Rik,-0.550,0.374,0.000,0.000,3.624,0.000,0.000,0.000
1600029O15Rik,0.251,0.516,0.595,0.000,0.868,1.044,0.000,1.556
1700001C02Rik,0.123,0.831,2.040,0.000,2.175,3.852,0.832,0.435
1700001C19Rik,-0.499,0.267,0.857,3.218,0.133,0.000,0.000,0.570
1700001D01Rik,0.262,0.374,0.000,0.000,0.000,0.000,0.784,0.000
1700001F09Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700001G01Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700001G11Rik,0.434,0.374,0.000,0.000,0.000,0.000,0.000,1.303
1700001G17Rik,-0.030,0.900,0.000,0.000,0.613,0.000,0.512,0.000
1700001J03Rik,0.205,0.374,0.000,0.000,0.000,0.000,0.613,0.000
1700001J11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700001K19Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700001K23Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700001L05Rik,0.192,0.102,1.231,1.022,1.114,1.251,1.847,1.443
1700001L19Rik,-0.409,0.184,1.192,3.754,4.777,1.566,1.523,1.374
1700001O22Rik,0.026,0.968,1.826,0.000,6.984,1.979,1.809,5.416
1700001P01Rik,0.233,0.763,1.846,0.000,0.000,0.000,0.000,2.983
1700003C15Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700003D09Rik,1.599,0.011,0.732,0.000,0.316,2.435,3.303,1.799
1700003E16Rik,-0.082,0.785,3.343,1.952,6.173,3.024,4.118,3.104
1700003E24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700003F12Rik,0.920,0.117,0.000,0.000,0.000,0.881,1.731,0.139
1700003G13Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700003G18Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700003H04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700003I22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700003L19Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700003M02Rik,-0.144,0.636,5.515,2.836,1.880,3.200,3.416,1.603
1700003M07Rik,0.006,0.991,0.098,0.150,2.467,0.680,1.534,0.537
1700003P14Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700006A11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700006E09Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700006F04Rik,-0.306,0.374,0.000,0.000,1.304,0.000,0.000,0.000
1700006H21Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700007B14Rik,0.027,0.374,0.000,0.000,0.000,0.000,0.000,0.080
1700007F19Rik,0.021,0.938,0.725,0.000,0.000,0.647,0.000,0.153
1700007G11Rik,0.065,0.837,0.000,0.000,0.819,0.851,0.000,0.224
1700007J10Rik,-0.018,0.738,0.000,0.000,0.135,0.000,0.000,0.081
1700007K09Rik,0.156,0.374,0.000,0.000,0.000,0.000,0.000,0.468
1700007K13Rik,-0.150,0.798,6.629,3.936,0.099,2.950,5.507,0.000
1700007L15Rik,-0.113,0.737,1.114,0.000,0.000,0.000,0.648,0.000
1700007P06Rik,0.266,0.374,0.000,0.000,0.000,0.000,0.795,0.000
1700008C04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700008J07Rik,0.173,0.555,1.678,0.000,0.891,1.002,1.126,1.417
1700008K24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700008O03Rik,-0.443,0.519,0.122,0.000,5.107,0.000,1.092,0.520
1700008P02Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700009C05Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700009J07Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700009N14Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700010B08Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700010D01Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700010I02Rik,-0.495,0.121,3.283,10.299,7.245,3.583,2.137,3.156
1700010I14Rik,0.149,0.141,0.000,0.000,0.000,0.278,0.167,0.000
1700010J16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700010K23Rik,-0.445,0.374,2.401,0.000,0.000,0.000,0.000,0.000
1700011A15Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700011B04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700011C11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700011E24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700011H14Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700011I03Rik,0.031,0.923,0.681,0.000,0.159,0.000,0.000,0.964
1700011L22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700011M02Rik,0.110,0.374,0.000,0.000,0.000,0.000,0.327,0.000
1700012A03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700012B07Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700012B09Rik,1.736,0.017,0.000,0.000,0.000,2.325,0.880,1.991
1700012C14Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700012D01Rik,-0.394,0.435,5.098,8.890,0.000,2.657,1.436,3.001
1700012D14Rik,0.166,0.760,0.000,0.000,1.070,1.754,0.000,0.000
1700012D16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700012H19Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700012I11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700012L04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700012P22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700013D24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700013F07Rik,-0.582,0.417,5.768,0.000,0.145,0.721,0.000,0.000
1700013G24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700013H16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700015E13Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700015F17Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700015G11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700016C15Rik,0.518,0.374,0.000,0.000,0.000,0.000,1.550,0.000
1700016D06Rik,-0.045,0.126,0.082,0.000,0.059,0.000,0.000,0.000
1700016G22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700016H13Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700016K19Rik,0.396,0.548,4.951,0.000,4.706,8.833,3.230,2.668
1700016L04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700016L21Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700016P04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700017B05Rik,-0.010,0.942,3.349,4.880,3.784,3.677,3.089,4.935
1700017D01Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700017G19Rik,0.084,0.374,0.000,0.000,0.000,0.250,0.000,0.000
1700017J07Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700017L05Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700017N19Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700018A04Rik,0.443,0.600,1.185,0.000,0.000,0.000,3.039,0.000
1700018B08Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700018B24Rik,-0.022,0.127,0.027,0.042,0.000,0.000,0.000,0.000
1700018C11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700018F24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700018G05Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700018L02Rik,-0.613,0.330,1.081,13.633,31.718,3.927,5.231,6.907
1700019A02Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700019B03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700019B21Rik,-0.047,0.374,0.000,0.000,0.144,0.000,0.000,0.000
1700019C18Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700019D03Rik,-0.188,0.580,0.000,0.000,1.229,0.000,0.446,0.000
1700019E08Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700019G17Rik,0.018,0.935,6.092,6.511,2.729,5.153,6.139,4.122
1700019G24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700019L03Rik,0.061,0.865,0.000,0.000,1.072,0.949,0.380,0.000
1700019M22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700019N19Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700019O17Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700020A23Rik,-0.082,0.374,0.267,0.000,0.000,0.000,0.000,0.000
1700020D05Rik,0.224,0.617,1.701,0.000,0.000,0.571,1.548,0.632
1700020D14Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700020G17Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700020I14Rik,-0.143,0.586,35.035,37.050,14.038,26.391,23.229,22.417
1700020L24Rik,-0.005,0.981,13.220,18.530,16.016,20.496,15.441,10.930
1700020M21Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700020N01Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700020N15Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700020N18Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700021F05Rik,0.965,0.234,21.203,3.375,2.164,22.815,13.148,19.085
1700021F07Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700021K19Rik,-0.105,0.300,13.593,17.029,14.684,13.403,15.147,11.167
1700021N21Rik,-0.005,0.986,0.617,0.000,0.000,0.000,0.601,0.000
1700022A21Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700022A22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700022E09Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700022H01Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700022H16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700022I11Rik,0.027,0.374,0.000,0.000,0.000,0.000,0.079,0.000
1700023C21Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700023F02Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700023F06Rik,-0.422,0.318,0.000,4.090,3.600,1.216,0.422,1.478
1700024B18Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700024F13Rik,0.287,0.118,0.000,0.000,0.000,0.401,0.455,0.000
1700024G13Rik,1.891,0.374,0.000,0.000,0.000,5.656,0.000,0.000
1700024I08Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700024N05Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700024P04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700024P16Rik,0.164,0.146,0.030,0.000,0.000,0.000,0.219,0.308
1700025B11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700025C18Rik,-0.055,0.374,0.173,0.000,0.000,0.000,0.000,0.000
1700025F22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700025F24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700025G04Rik,0.015,0.906,1.979,2.160,1.050,1.743,1.689,1.798
1700025J12Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700025K24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700025M24Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700025N23Rik,-0.363,0.437,0.000,0.197,2.325,0.000,0.000,0.527
1700026D08Rik,0.011,0.957,0.796,1.985,1.368,1.025,1.989,1.146
1700026D11Rik,0.031,0.759,0.000,0.215,0.093,0.290,0.109,0.000
1700026F02Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700026J14Rik,0.120,0.374,0.000,0.000,0.000,0.000,0.358,0.000
1700026L06Rik,-0.805,0.097,13.671,5.145,3.821,0.000,1.964,0.000
1700027A15Rik,0.509,0.374,0.000,0.000,0.000,0.000,0.000,1.528
1700027F06Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700027F09Rik,-0.049,0.374,0.154,0.000,0.000,0.000,0.000,0.000
1700027H10Rik,0.987,0.374,0.000,0.000,0.000,2.951,0.000,0.000
1700027I24Rik,-0.084,0.374,0.000,0.286,0.000,0.000,0.000,0.000
1700027J07Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700028B04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700028D13Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700028E10Rik,0.056,0.176,0.000,0.000,0.000,0.050,0.000,0.118
1700028I16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700028J19Rik,-0.077,0.721,0.000,0.000,0.628,0.000,0.356,0.000
1700028K03Rik,-0.094,0.742,0.993,0.000,1.695,0.836,0.530,0.801
1700028M03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700028P14Rik,-0.239,0.645,1.303,4.784,0.000,0.561,1.904,1.330
1700028P15Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700029B22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700029F12Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700029H14Rik,-0.084,0.776,1.060,0.000,0.000,0.409,0.307,0.000
1700029I15Rik,-0.202,0.769,4.606,1.887,0.000,4.493,0.000,0.000
1700029J03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700029J07Rik,-0.118,0.565,1.269,1.047,0.532,0.514,1.291,0.318
1700029M20Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700029N11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700029P11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700030A11Rik,0.547,0.374,0.000,0.000,0.000,1.634,0.000,0.000
1700030C10Rik,0.250,0.136,0.000,0.000,0.000,0.000,0.459,0.290
1700030F04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700030F18Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700030J22Rik,-0.096,0.788,1.195,0.000,2.352,0.740,1.460,0.743
1700030K09Rik,-0.031,0.825,4.615,6.043,4.236,3.515,5.674,4.955
1700030L20Rik,0.557,0.378,0.111,0.175,0.000,1.908,0.180,0.000
1700030M09Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700030N03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700030O20Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700031A10Rik,-0.330,0.406,2.481,0.940,0.000,0.000,0.625,0.652
1700031F05Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700031M16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700031P21Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700034E13Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700034G24Rik,-0.568,0.161,2.868,0.000,2.382,0.000,0.580,0.000
1700034H15Rik,-0.169,0.451,0.398,0.000,0.891,0.067,0.067,0.441
1700034I23Rik,0.549,0.182,0.893,0.000,0.000,1.651,0.619,0.755
1700034J05Rik,0.226,0.238,0.000,0.000,0.070,0.560,0.000,0.201
1700034K08Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700034O15Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700034P13Rik,-0.223,0.632,6.259,0.000,8.359,3.247,3.466,4.044
1700036G14Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700037C18Rik,-0.118,0.777,4.368,5.338,0.000,3.128,2.588,2.306
1700037H04Rik,-0.389,0.186,27.020,28.604,50.941,17.953,27.993,17.581
1700039E15Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700039E22Rik,0.055,0.374,0.000,0.000,0.000,0.165,0.000,0.000
1700040L02Rik,-0.262,0.683,9.564,0.000,2.096,3.331,2.503,1.991
1700041A01Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700041C23Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700041M19Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700042G07Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700042G15Rik,0.082,0.222,0.098,0.000,0.000,0.105,0.039,0.206
1700042O10Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700044C05Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700044K03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700045H11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700046C09Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700047A11Rik,0.135,0.122,0.000,0.000,0.000,0.224,0.000,0.177
1700047E10Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700047G03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700047I17Rik2,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700047L14Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700047M11Rik,-0.157,0.674,2.328,0.000,1.079,1.353,0.293,0.764
1700048M11Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700048O20Rik,-0.325,0.046,1.586,2.359,1.658,0.509,1.358,0.894
1700049E15Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700049E22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700049G17Rik,-0.340,0.357,2.232,3.726,0.224,0.751,1.264,0.963
1700049L16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700051A21Rik,0.170,0.374,0.000,0.000,0.000,0.000,0.000,0.510
1700052I22Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700052K11Rik,0.135,0.805,2.244,0.000,5.653,2.695,1.956,4.787
1700054A03Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700054K19Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700054M17Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700055C04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700056E22Rik,-0.080,0.874,2.270,0.000,0.079,1.343,0.000,0.578
1700057G04Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700057H15Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700057H21Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700060C16Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700060C20Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700061F12Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700061G19Rik,-0.338,0.174,0.464,0.000,1.053,0.000,0.000,0.000
1700061I17Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700061J23Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700063A18Rik,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
1700063D05Rik,0.515,0.311,0.000,0.000,0.000,0.000,1.395,0.146
